Title,Link,Published_at,Summary
"AI infrastructure, compute: Ben Bajarin's 2025 Big Tech predictions",https://finance.yahoo.com/video/ai-infrastructure-compute-ben-bajarins-231500432.html?.tsrc=rss,2025-01-03 00:15:00,"As the AI trade welcomes a variety of new participants and infrastructure components in 2025, Creative Strategies CEO and Principal Analyst Ben Bajarin shares several of his Big Tech predictions for this year with Asking for a Trend's Josh Lipton. Bajarin names several of the typical players in the AI semiconductor space contributing to infrastructure, namely Nvidia (NVDA), Broadcom (AVGO), Advanced Micro Devices (AMD), and Marvell Technology (MRVL). ""A ton of growth still going on the infrastructure side, so I imagine that that that will continue,"" Bajarin states. ""We're going to continue to see a tremendous amount of demand for compute, that's not going away. But I think what I'm looking for in 2025 is the software monetization of those stocks."" Bajarin also weighs in on the reported boost in productivity from executives after deploying AI agents across several industries, as well as what is to be expected on cloud computing spend and Apple's (AAPL) AI-enabled computers and smart devices. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here. This post was written by Luke Carberry Mogan."
The scary 'incentive' companies have given Trump,https://finance.yahoo.com/video/scary-incentive-companies-given-trump-223356052.html?.tsrc=rss,2025-01-02 23:33:56,"Major corporations — including the likes of Amazon (AMZN), Meta (META), and Uber (UBER) — have each committed at least $1 million to President-elect Donald Trump's inauguration fund. Gautam Mukunda, Yale School of Management executive fellow and author of ""Picking Presidents,"" joins Market Domination Overtime to analyze the growing corporate support for Trump's second term. Mukunda asserts that companies are being pragmatic in their support for Trump, pointing out Trump's historical willingness to use federal government power against those he perceives as political enemies or threats. He references Trump's previous conflicts with Jeff Bezos during his first term, when Trump targeted Bezos over his ownership of the Washington Post. Mukunda observes, ""Trump is very transactional, and these companies are making a transaction."" However, he warns, ""When you have said 'I will pay up if you threaten me,' the incentive you have created is to keep threatening you in order to get more payouts,"" adding that these companies ""will learn the hard way."" To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here. This post was written by Angel Smith"
Apple Stock Falls On iPhone Discounts In China,https://finance.yahoo.com/m/24e88697-5f92-38b8-8baf-14b64a00a401/apple-stock-falls-on-iphone.html?.tsrc=rss,2025-01-02 22:51:31,Apple stock sank Thursday on news reports that the consumer electronics giant cut iPhone prices in China to compete with domestic rivals such as Huawei.
S&P 500 Gains and Losses Today: Tesla Stock Drops as Deliveries Miss Forecasts,https://www.investopedia.com/s-and-p-500-gains-and-losses-today-8768122?.tsrc=rss,2025-01-02 22:48:41,"The S&amp;P 500 dropped 0.2% on Thursday, Jan. 2, marking a slow start to a new year of trading following last year's strong stock market performance."
"Apple to settle Siri privacy lawsuit, agrees to pay $95M",https://finance.yahoo.com/video/apple-settle-siri-privacy-lawsuit-213829228.html?.tsrc=rss,2025-01-02 22:38:29,"Apple (AAPL) has agreed to pay $95 million as part of a settlement in a privacy lawsuit concerning its digital assistant Siri listening in on and recording people's conversations. Josh Lipton reports the latest on this story. To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Luke Carberry Mogan."
"Dow, stocks slide to start 2025 and extend losing streaks",https://finance.yahoo.com/video/dow-stocks-slide-start-2025-210911951.html?.tsrc=rss,2025-01-02 22:09:11,"The US market averages (^DJI, ^IXIC, ^GSPC) close the first trading day of 2025 in negative territory, their fifth straight session of losses. The Dow Jones Industrial Average fell the most, dropping by 0.35%; the day's showing nearly breaking Wall Street's hopes for a last-minute Santa Claus rally. Market Domination Overtime host Julie Hyman examines several of 2024's top stock performers as they close out the first session of 2025. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here. This post was written by Luke Carberry Mogan."
Apple to pay $95 million to settle lawsuit accusing Siri of snoopy eavesdropping,https://finance.yahoo.com/news/apple-pay-95-million-settle-201029760.html?.tsrc=rss,2025-01-02 21:10:29,"Apple has agreed to pay $95 million to settle a lawsuit accusing the privacy-minded company of deploying its virtual assistant Siri to eavesdrop on people using its iPhone and other trendy devices.  The proposed settlement filed Tuesday in an Oakland, California, federal court would resolve a 5-year-old lawsuit revolving around allegations that Apple surreptitiously activated Siri to record conversations through iPhones and other devices equipped with the virtual assistant for more than a decade.  The alleged recordings occurred even when people didn't seek to activate the virtual assistant with the trigger words, “Hey, Siri."""
Why Apple (AAPL) Shares Are Sliding Today,https://finance.yahoo.com/news/why-apple-aapl-shares-sliding-194809977.html?.tsrc=rss,2025-01-02 20:48:09,"Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) fell 3.2% in the afternoon session after UBS cut its iPhone sales estimates for Q4 2024. Analyst David Vogt expects iPhone revenue to fall 5%, year on year, below consensus expectations. Separately, there are reports that Apple will be offering discounts to customers in China from January 4 to 7, 2025, amid heightened competition, further dampening the sales outlook."
"Apple Stock Falls on Report of China iPhone Discounts. ‘Winter Is Here,’ Analyst Says.",https://finance.yahoo.com/m/7108b2aa-6068-33bc-8ccc-642001c5ff6a/apple-stock-falls-on-report.html?.tsrc=rss,2025-01-02 19:21:00,UBS analysts led by David Vogt slashed their iPhone sales estimates even further below Wall Street’s consensus amid China weakness.
Apple Stock Dips 3% as iPhone Sales Slump in China Hits New Low,https://finance.yahoo.com/news/apple-stock-dips-3-iphone-174907708.html?.tsrc=rss,2025-01-02 18:49:07,"Apple Faces Tough Start to 2025 with iPhone Sales Decline, Analysts Lower Estimates"
Nvidia stock leads 'Magnificent 7' gains to start 2025 after megacap tech sell-off,https://finance.yahoo.com/news/nvidia-stock-leads-magnificent-7-gains-to-start-2025-after-megacap-tech-sell-off-173433609.html?.tsrc=rss,2025-01-02 18:34:33,Nvidia stock led the so-called “Magnificent 7” tech stocks higher to start the year after a group-wide selloff in the last days of 2025.
Can the Magnificent 7 keep dominating in 2025?,https://finance.yahoo.com/video/magnificent-7-keep-dominating-2025-171331442.html?.tsrc=rss,2025-01-02 18:13:31,"In 2024, tech stocks, especially the ""Magnificent Seven,"" led in market gains. However, a key question for 2025 remains: Can the Magnificent Seven continue outperforming in 2025? Mike O’Rourke, chief market strategist at JonesTrading, joins Madison Mills and Brad Smith on Morning Brief to share his 2025 outlook on the Magnificent Seven and broader market trends. O’Rourke notes that Tesla's vehicle delivery underperformance in the fourth quarter could be a useful reality check for investors in terms of Magnificent Seven stocks as a whole. Despite Tesla's 2024 market gains, O'Rourke suggests, ""You don't have to come out of the market, but you should be looking elsewhere for a little more, you know, protection, a little more value cushion."" He elaborates, noting that the tides are changing within the Magnificent Seven, which could make those stocks less reliable. He warns, ""The problem with the entire [Magnificent Seven] is they collectively trade about 50 times trailing earning, so they're expensive as a group ... people are paying a premium for those large names, so they don't represent any type of value or protection."" Instead, O'Rourke suggests diversifying into mid- and small-cap stocks, which he believes can add more value. ""We're making a single bet on this handful of mega caps that are going to drive everything ... as a long-term investor, you want to be buying things that represent value, that are going to be good for the next several years."" To watch more expert insights and analysis on the latest market action, check out more Morning Brief here. This post was written by Josh Lynch"
Apple Agrees to Pay $95 Million to Settle Lawsuit Over Recordings Tied to Siri,https://finance.yahoo.com/m/bbf722fd-fce9-3f46-a579-3d7f52329e04/apple-agrees-to-pay-%2495.html?.tsrc=rss,2025-01-02 18:10:00,The class-action lawsuit alleged the company obtained private communications and shared them with third parties without consent through Siri.
"Top Stock Movers Now: Uber, Unity Software, Tesla, and More",https://www.investopedia.com/top-stock-movers-now-uber-unity-software-tesla-and-more-8768209?.tsrc=rss,2025-01-02 18:00:47,U.S. equities edged higher on the first trading day of the new year as optimism about corporate growth in the future was dampened somewhat by concerns about the tech sector.
